date, pm25, pm10, o3, no2, co
2017/12/21, 30, 7, 12, 17, 
2017/12/22, 28, 4, 17, 7, 
2017/12/23, 14, 2, 22, 6, 
2017/12/24, 9, 8, 23, 4, 
2017/12/25, 24, 4, 23, 7, 
2017/12/26, 10, 3, 22, 9, 
2017/12/27, 10, 9, 14, 21, 
2017/12/28, 31, 10, 25, 13, 
2017/12/29, 31, 18, 25, 7, 
2017/12/30, 39, 2, 25, 5, 
2017/12/31, 16, 6, 23, 10, 
2017/7/1, 37, 7, 26, 6, 
2017/7/2, 31, 6, 25, 7, 
2017/7/3, 26, 8, 21, 10, 
2017/7/4, 36, , 35, 13, 
2017/7/5, 20, , 52, 11, 
2017/7/7, 31, 6, 29, 7, 
2017/7/8, 24, 11, 38, 10, 
2017/7/9, 39, 8, 25, 7, 
2017/7/10, 26, 6, 17, 8, 
2017/7/11, 22, 6, 23, 9, 
2017/7/12, 21, 10, 28, 9, 
2017/7/13, 24, 6, 19, 10, 
2017/7/14, 20, 8, 13, 6, 
2017/7/15, 27, 4, 10, 4, 
